Internship Id,Company name,Internship location,offline / online,stipend,skill required,experience,about the job,deadline for apply,number of opening,duration,Role,Website link of company (optional)
INT-1000,Deloitte,Bengaluru (Hybrid),Hybrid,"₹33,794/month","Selenium, JIRA, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-11-2025,4,4 months,Quality Assurance,https://www.deloitte.com
INT-1001,Deloitte,Hyderabad,Online,"₹34,442/month","JavaScript, Python, SQL",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-18-2025,4,3 months,Software Development,https://www.deloitte.com
INT-1002,Deloitte,Bengaluru,Offline,"₹34,959/month","Figma, User Research, Adobe XD, Prototyping",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-6-2025,11,6 months,UI/UX Design,https://www.deloitte.com
INT-1003,Deloitte,Bengaluru,Online,"₹34,974/month","Sales, Client Relations, Market Analysis",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",11-1-2025,15,3 months,Business Development,https://www.deloitte.com
INT-1004,Deloitte,Hyderabad (Hybrid),Hybrid,"₹32,647/month","Automation Testing, Bug Tracking, Manual Testing, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",9-30-2025,21,4 months,Quality Assurance,https://www.deloitte.com
INT-1005,Deloitte,Mumbai,Online,"₹34,526/month","Market Research, Agile, Wireframing, Analytics, Product Strategy",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-7-2025,22,2 months,Product Management,https://www.deloitte.com
INT-1006,Deloitte,Hyderabad,Online,"₹31,994/month","Figma, Prototyping, Adobe XD, User Research",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-30-2025,8,12 months,UI/UX Design,https://www.deloitte.com
INT-1007,Deloitte,Mumbai (Hybrid),Hybrid,"₹31,776/month","HR Analytics, Compliance, Recruitment, Employee Relations",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-11-2025,4,3 months,HR,https://www.deloitte.com
INT-1008,Deloitte,Bengaluru,Offline,"₹34,935/month","PyTorch, TensorFlow, NLP, Deep Learning, Python",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-29-2025,19,6 months,Machine Learning,https://www.deloitte.com
INT-1009,Deloitte,Bengaluru (Hybrid),Hybrid,"₹31,151/month","Python, Computer Vision, TensorFlow, Deep Learning",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-23-2025,9,6 months,Machine Learning,https://www.deloitte.com
INT-1010,Deloitte,Mumbai,Offline,"₹30,523/month","Financial Analysis, Financial Modeling, Risk Assessment, Excel, Accounting",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",9-29-2025,15,2 months,Finance,https://www.deloitte.com
INT-1011,Deloitte,Mumbai,Online,"₹34,936/month","Automation Testing, JIRA, Bug Tracking, Manual Testing, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-31-2025,3,3 months,Quality Assurance,https://www.deloitte.com
INT-1012,Infosys,Mangalore (Hybrid),Hybrid,"₹27,445/month","PyTorch, Deep Learning, Python, TensorFlow, Computer Vision",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-23-2025,2,4 months,Machine Learning,https://www.infosys.com
INT-1013,Infosys,Hyderabad,Online,"₹27,031/month","Client Relations, CRM, Negotiation, Market Analysis, Sales",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-21-2025,2,2 months,Business Development,https://www.infosys.com
